Player,Age,Tm,First,PtsWon,PtsMax,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Lou Williams,32,LAC,96.0,489.0,500,0.978,75,26.6,20.0,3.0,5.4,0.8,0.1,.425,.361,.876,5.1,.123
Domantas Sabonis,22,IND,1.0,190.0,500,0.380,74,24.8,14.1,9.3,2.9,0.6,0.4,.590,.529,.715,7.6,.197
Montrezl Harrell,25,LAC,2.0,142.0,500,0.284,82,26.3,16.6,6.5,2.0,0.9,1.3,.615,.176,.643,8.7,.193
Spencer Dinwiddie,25,BRK,0.0,34.0,500,0.068,68,28.1,16.8,2.4,4.6,0.6,0.3,.442,.335,.806,4.8,.121
Terrence Ross,27,ORL,0.0,12.0,500,0.024,81,26.5,15.1,3.5,1.7,0.9,0.4,.428,.383,.875,4.3,.095
Derrick Rose,30,MIN,0.0,11.0,500,0.022,51,27.3,18.0,2.7,4.3,0.6,0.2,.482,.370,.856,3.0,.102
Dwyane Wade,37,MIA,0.0,8.0,500,0.016,72,26.2,15.0,4.0,4.2,0.8,0.5,.433,.330,.708,2.4,.061
Dennis Schröder,25,OKC,1.0,5.0,500,0.010,79,29.3,15.5,3.6,4.1,0.8,0.2,.414,.341,.819,2.9,.060
Monte Morris,23,DEN,0.0,3.0,500,0.006,82,24.0,10.4,2.4,3.6,0.9,0.0,.493,.414,.802,6.2,.151
Andre Iguodala,35,GSW,0.0,2.0,500,0.004,68,23.2,5.7,3.7,3.2,0.9,0.8,.500,.333,.582,4.2,.129
Malik Beasley,22,DEN,0.0,1.0,500,0.002,81,23.2,11.3,2.5,1.2,0.7,0.1,.474,.402,.848,4.5,.115
Dāvis Bertāns,26,SAS,0.0,1.0,500,0.002,76,21.5,8.0,3.5,1.3,0.5,0.4,.450,.429,.883,4.0,.118
Jae Crowder,28,UTA,0.0,1.0,500,0.002,80,27.1,11.9,4.8,1.7,0.8,0.4,.399,.331,.721,4.4,.097
Ed Davis,29,BRK,0.0,1.0,500,0.002,81,17.9,5.8,8.6,0.8,0.4,0.4,.616,.000,.617,5.7,.191
