Season,AllNBATeam,Center,Forward1,Forward2,Guard1,Guard2
2018,1st,Anthony Davis,LeBron James,Kevin Durant,Damian Lillard,James Harden
2018,2nd,Joel Embiid,Giannis Antetokounmpo,LaMarcus Aldridge,Russell Westbrook,DeMar DeRozan
2018,3rd,Karl-Anthony Towns,Jimmy Butler,Paul George,Stephen Curry,Victor Oladipo
2017,1st,Anthony Davis,LeBron James,Kawhi Leonard,James Harden,Russell Westbrook
2017,2nd,Rudy Gobert,Giannis Antetokounmpo,Kevin Durant,Stephen Curry,Isaiah Thomas
2017,3rd,DeAndre Jordan,Draymond Green,Jimmy Butler,John Wall,DeMar DeRozan
2016,1st,DeAndre Jordan,LeBron James,Kawhi Leonard,Stephen Curry,Russell Westbrook
2016,2nd,DeMarcus Cousins,Kevin Durant,Draymond Green,Chris Paul,Damian Lillard
2016,3rd,Andre Drummond,Paul George,LaMarcus Aldridge,Klay Thompson,Kyle Lowry
2015,1st,Marc Gasol,LeBron James,Anthony Davis,Stephen Curry,James Harden
2015,2nd,DeMarcus Cousins,Pau Gasol,LaMarcus Aldridge,Russell Westbrook,Chris Paul
2015,3rd,DeAndre Jordan,Blake Griffin,Tim Duncan,Klay Thompson,Kyrie Irving
2014,1st,Joakim Noah,Kevin Durant,LeBron James,James Harden,Chris Paul
2014,2nd,Dwight Howard,Blake Griffin,Kevin Love,Stephen Curry,Tony Parker
2014,3rd,Al Jefferson,Paul George,LaMarcus Aldridge,Goran Dragic,Damian Lillard
2013,1st,Tim Duncan,Kevin Durant,LeBron James,Kobe Bryant,Chris Paul
2013,2nd,Marc Gasol,Carmelo Anthony,Blake Griffin,Tony Parker,Russell Westbrook
2013,3rd,Dwight Howard,Paul George,David Lee,James Harden,Dwyane Wade
2012,1st,Dwight Howard,Kevin Durant,LeBron James,Kobe Bryant,Chris Paul
2012,2nd,Andrew Bynum,Blake Griffin,Kevin Love,Tony Parker,Russell Westbrook
2012,3rd,Tyson Chandler,Carmelo Anthony,Dirk Nowitzki,Rajon Rondo,Dwyane Wade
2011,1st,Dwight Howard,Kevin Durant,LeBron James,Kobe Bryant,Derrick Rose
2011,2nd,Amar'e Stoudemire,Pau Gasol,Dirk Nowitzki,Dwyane Wade,Russell Westbrook
2011,3rd,Al Horford,LaMarcus Aldridge,Zach Randolph,Manu Ginobili,Chris Paul
2010,1st,Dwight Howard,Kevin Durant,LeBron James,Kobe Bryant,Dwyane Wade
2010,2nd,Amar'e Stoudemire,Carmelo Anthony,Dirk Nowitzki,Steve Nash,Deron Williams
2010,3rd,Andrew Bogut,Tim Duncan,Pau Gasol,Joe Johnson,Brandon Roy
2009,1st,Dwight Howard,LeBron James,Dirk Nowitzki,Kobe Bryant,Dwyane Wade
2009,2nd,Yao Ming,Tim Duncan,Paul Pierce,Chris Paul,Brandon Roy
2009,3rd,Shaquille O'Neal,Carmelo Anthony,Pau Gasol,Chauncey Billups,Tony Parker
2008,1st,Dwight Howard,Kevin Garnett,LeBron James,Kobe Bryant,Chris Paul
2008,2nd,Amar'e Stoudemire,Tim Duncan,Dirk Nowitzki,Steve Nash,Deron Williams
2008,3rd,Yao Ming,Carlos Boozer,Paul Pierce,Manu Ginobili,Tracy McGrady
2007,1st,Amar'e Stoudemire,Tim Duncan,Dirk Nowitzki,Kobe Bryant,Steve Nash
2007,2nd,Yao Ming,Chris Bosh,LeBron James,Gilbert Arenas,Tracy McGrady
2007,3rd,Dwight Howard,Carmelo Anthony,Kevin Garnett,Chauncey Billups,Dwyane Wade
2006,1st,Shaquille O'Neal,LeBron James,Dirk Nowitzki,Kobe Bryant,Steve Nash
2006,2nd,Ben Wallace,Elton Brand,Tim Duncan,Chauncey Billups,Dwyane Wade
