Player,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Jeff Adrien,24,5,153,2148,264,557,0,2,181,288,221,659,100,50,79,91,259,709,.474,.000,.628,14.0,4.6,4.3,0.7
Solomon Alabi,22,2,26,181,16,51,0,0,7,10,22,61,5,4,11,8,16,39,.314,,.700,7.0,1.5,2.3,0.2
Cole Aldrich,22,8,339,3389,435,825,0,0,180,244,334,1131,183,137,233,199,509,1050,.527,,.738,10.0,3.1,3.3,0.5
Al-Farouq Aminu,20,8,589,14592,1628,3863,430,1281,724,997,824,3473,723,573,347,746,1103,4410,.421,.336,.726,24.8,7.5,5.9,1.2
James Anderson,21,5,247,4320,525,1276,196,611,176,233,108,560,291,121,55,216,292,1422,.411,.321,.755,17.5,5.8,2.3,1.2
Omer Asik,24,8,471,9216,947,1795,0,1,585,1062,1036,3362,280,167,339,542,928,2479,.528,.000,.551,19.6,5.3,7.1,0.6
Luke Babbitt,21,8,381,5332,650,1593,394,979,124,166,111,846,224,89,58,165,520,1818,.408,.402,.747,14.0,4.8,2.2,0.6
Eric Bledsoe,21,8,492,13631,2381,5297,484,1435,1547,1937,388,1867,2294,731,246,1345,1012,6793,.449,.337,.799,27.7,13.8,3.8,4.7
Trevor Booker,23,8,532,10872,1548,3003,75,246,508,799,1029,2932,566,355,277,540,1064,3679,.515,.305,.636,20.4,6.9,5.5,1.1
Craig Brackins,23,2,17,121,13,49,3,14,1,2,7,19,9,1,1,4,9,30,.265,.214,.500,7.1,1.8,1.1,0.5
Avery Bradley,20,8,459,13052,2284,5203,595,1624,501,649,297,1380,797,497,95,666,977,5664,.439,.366,.772,28.4,12.3,3.0,1.7
Derrick Caracter,22,1,41,215,32,66,0,0,17,23,19,43,7,4,10,19,47,81,.485,,.739,5.2,2.0,1.0,0.2
Sherron Collins,23,1,20,66,7,25,2,10,1,1,0,5,8,2,0,4,2,17,.280,.200,1.000,3.3,0.9,0.3,0.4
Marcus Cousin,24,1,4,18,2,3,0,0,0,0,0,3,0,0,1,1,1,4,.667,,,4.5,1.0,0.8,0.0
DeMarcus Cousins,20,8,535,17307,4105,8924,316,936,2992,4061,1522,5884,1725,765,653,1928,2066,11518,.460,.338,.737,32.3,21.5,11.0,3.2
Jordan Crawford,22,6,281,6843,1286,3130,330,1041,530,642,153,703,883,196,23,529,437,3432,.411,.317,.826,24.4,12.2,2.5,3.1
Ed Davis,21,8,559,11507,1535,2720,0,2,622,1075,1279,3638,438,287,502,443,1373,3692,.564,.000,.579,20.6,6.6,6.5,0.8
Zabian Dowdell,26,1,24,292,51,125,3,10,16,17,5,20,51,20,2,29,30,121,.408,.300,.941,12.2,5.0,0.8,2.1
Devin Ebanks,21,3,63,711,82,213,8,36,52,72,51,122,24,18,12,35,56,224,.385,.222,.722,11.3,3.6,1.9,0.4
Semih Erden,24,2,69,928,101,185,0,0,60,101,57,190,29,25,29,50,164,262,.546,,.594,13.4,3.8,2.8,0.4
Jeremy Evans,23,7,250,2626,364,640,6,26,145,211,239,641,107,90,121,85,291,879,.569,.231,.687,10.5,3.5,2.6,0.4
Patrick Ewing,26,1,7,19,0,5,0,2,3,4,1,2,2,0,1,1,1,3,.000,.000,.750,2.7,0.4,0.3,0.3
Christian Eyenga,21,2,51,1049,136,331,26,94,22,36,31,137,40,37,33,50,85,320,.411,.277,.611,20.6,6.3,2.7,0.8
Derrick Favors,19,8,556,14501,2599,5024,18,89,1207,1821,1367,3987,612,442,707,811,1501,6423,.517,.202,.663,26.1,11.6,7.2,1.1
Landry Fields,22,5,255,6010,684,1446,120,361,243,365,248,1092,419,212,45,270,310,1731,.473,.332,.666,23.6,6.8,4.3,1.6
Gary Forbes,25,2,111,1504,236,544,48,141,125,178,55,218,103,47,10,100,133,645,.434,.340,.702,13.5,5.8,2.0,0.9
Paul George,20,8,527,17583,3351,7757,1141,3033,1981,2346,458,3263,1682,901,233,1353,1423,9824,.432,.376,.844,33.4,18.6,6.2,3.2
Blake Griffin,21,8,529,18537,4342,8543,191,590,2484,3635,1228,4852,2288,495,286,1324,1551,11359,.508,.324,.683,35.0,21.5,9.2,4.3
Luke Harangody,23,2,70,871,102,271,21,87,28,38,60,196,36,21,20,20,97,253,.376,.241,.737,12.4,3.6,2.8,0.5
Manny Harris,21,4,93,1594,199,524,53,150,124,168,57,253,129,48,14,101,104,575,.380,.353,.738,17.1,6.2,2.7,1.4
Gordon Hayward,20,8,517,16169,2722,6131,689,1874,1946,2372,377,2150,1762,527,215,1059,924,8079,.444,.368,.820,31.3,15.6,4.2,3.4
Lazar Hayward,24,3,72,591,70,202,21,78,46,60,25,90,35,17,8,28,65,207,.347,.269,.767,8.2,2.9,1.3,0.5
Xavier Henry,19,5,185,2905,368,907,41,126,273,430,81,351,120,100,23,139,264,1050,.406,.325,.635,15.7,5.7,1.9,0.6
Damion James,23,4,39,623,61,147,0,6,28,42,25,131,26,23,20,38,56,150,.415,.000,.667,16.0,3.8,3.4,0.7
Eugene Jeter,27,1,62,858,106,259,6,30,37,41,9,70,162,29,2,51,54,255,.409,.200,.902,13.8,4.1,1.1,2.6
Armon Johnson,21,2,47,401,66,144,6,15,19,28,12,49,56,10,1,44,40,157,.458,.400,.679,8.5,3.3,1.0,1.2
Chris Johnson,25,3,71,597,77,137,0,0,51,73,47,132,13,16,46,38,103,205,.562,,.699,8.4,2.9,1.9,0.2
Wesley Johnson,23,8,571,12938,1584,3900,589,1747,350,471,325,1852,622,454,390,507,1105,4107,.406,.337,.743,22.7,7.2,3.2,1.1
Dominique Jones,22,3,80,741,83,227,2,21,78,107,33,114,144,29,10,76,64,246,.366,.095,.729,9.3,3.1,1.4,1.8
Gani Lawal,22,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,2.0,0.0,0.0,0.0
Jeremy Lin,22,8,406,10782,1647,3808,394,1126,1172,1456,175,1159,1811,472,162,961,916,4860,.433,.350,.805,26.6,12.0,2.9,4.5
Greg Monroe,20,8,589,16995,3247,6310,0,12,1602,2266,1702,5057,1330,658,355,1154,1345,8096,.515,.000,.707,28.9,13.7,8.6,2.3
Timofey Mozgov,24,8,454,8181,1230,2301,11,58,601,814,769,2225,250,139,383,527,998,3072,.535,.190,.738,18.0,6.8,4.9,0.6
Hamady N'Diaye,24,3,33,157,7,15,0,0,6,13,7,25,3,2,9,6,33,20,.467,,.462,4.8,0.6,0.8,0.1
Gary Neal,26,7,352,7507,1275,3021,460,1203,460,541,81,760,573,145,10,365,525,3470,.422,.382,.850,21.3,9.9,2.2,1.6
Larry Owens,28,2,19,218,19,43,8,18,7,13,3,28,12,9,6,7,28,53,.442,.444,.538,11.5,2.8,1.5,0.6
Patrick Patterson,21,8,559,12704,1622,3568,477,1288,343,453,726,2426,635,331,272,396,971,4064,.455,.370,.757,22.7,7.3,4.3,1.1
Nikola Pekovic,25,6,271,6744,1314,2537,0,0,777,1023,803,1807,199,140,151,414,632,3405,.518,,.760,24.9,12.6,6.7,0.7
Dexter Pittman,22,4,50,347,49,109,0,0,18,33,38,89,9,8,8,22,83,116,.450,,.545,6.9,2.3,1.8,0.2
Quincy Pondexter,22,6,302,5238,542,1293,205,575,222,301,192,594,239,111,48,165,440,1511,.419,.357,.738,17.3,5.0,2.0,0.8
Andy Rautins,24,1,5,24,3,7,1,4,1,2,0,1,3,1,0,7,0,8,.429,.250,.500,4.8,1.6,0.2,0.6
Samardo Samuels,22,3,109,1722,237,532,0,4,164,251,148,366,45,38,41,115,231,638,.445,.000,.653,15.8,5.9,3.4,0.4
Larry Sanders,22,6,238,4635,669,1395,0,5,182,329,475,1345,174,152,429,224,666,1520,.480,.000,.553,19.5,6.4,5.7,0.7
Kevin Seraphin,21,7,423,6430,1134,2318,0,7,248,347,502,1462,246,88,304,449,903,2516,.489,.000,.715,15.2,5.9,3.5,0.6
Mustafa Shakur,26,2,25,170,21,62,1,11,9,17,7,22,29,5,3,20,17,52,.339,.091,.529,6.8,2.1,0.9,1.2
Garret Siler,24,1,21,101,17,31,0,0,11,22,16,28,3,1,4,10,20,45,.548,,.500,4.8,2.1,1.3,0.1
Ish Smith,22,8,486,9267,1507,3520,152,505,353,528,163,1136,1846,352,109,622,594,3519,.428,.301,.669,19.1,7.2,2.3,3.8
Tiago Splitter,26,7,355,6812,1073,1932,2,14,668,958,576,1779,423,198,209,384,685,2816,.555,.143,.697,19.2,7.9,5.0,1.2
Lance Stephenson,20,8,440,10743,1554,3485,273,902,482,704,300,1909,1316,292,65,751,879,3863,.446,.303,.685,24.4,8.8,4.3,3.0
Pape Sy,22,1,3,21,2,6,0,1,3,3,2,3,2,1,0,3,1,7,.333,.000,1.000,7.0,2.3,1.0,0.7
Evan Turner,22,8,613,17082,2519,5821,259,860,971,1233,343,2912,2141,490,158,1127,1250,6268,.433,.301,.788,27.9,10.2,4.8,3.5
Ekpe Udoh,23,6,333,5374,469,1073,0,4,296,409,429,1010,232,167,398,209,678,1234,.437,.000,.724,16.1,3.7,3.0,0.7
Ben Uzoh,22,2,60,808,96,243,3,9,44,75,49,128,130,30,11,44,60,239,.395,.333,.587,13.5,4.0,2.1,2.2
Greivis Vasquez,24,7,401,9520,1378,3297,412,1180,423,518,125,1021,1935,236,34,753,767,3591,.418,.349,.817,23.7,9.0,2.5,4.8
John Wall,20,8,541,19441,3697,8555,488,1494,2334,2969,315,2367,5003,927,367,2070,1218,10216,.432,.327,.786,35.9,18.9,4.4,9.2
Willie Warren,21,1,19,134,13,35,5,15,6,8,1,12,27,6,0,8,16,37,.371,.333,.750,7.1,1.9,0.6,1.4
Hassan Whiteside,21,6,271,7255,1522,2647,2,2,650,1037,866,3092,147,168,662,446,701,3696,.575,1.000,.627,26.8,13.6,11.4,0.5
