Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Jordan Adams,"01/14/15, MEM @ BRK",20,2,32,263,37,92,10,26,17,28,9,30,19,19,7,16,26,101,.402,.385,.607,8.2,3.2,0.9,0.6
Furkan Aldemir,"01/10/15, PHI vs. IND",23,1,41,540,40,78,0,5,13,27,78,176,28,17,16,17,96,93,.513,.000,.481,13.2,2.3,4.3,0.7
Kyle Anderson,"01/1/17, SAS @ ATL",21,5,300,5882,643,1307,58,179,257,364,195,1171,572,295,159,260,414,1601,.492,.324,.706,19.6,5.3,3.9,1.9
Cameron Bairstow,"01/1/16, CHI vs. NYK",24,2,36,167,16,54,1,5,11,13,10,36,7,4,4,7,27,44,.296,.200,.846,4.6,1.2,1.0,0.2
Jerrelle Benimon,"03/10/15, UTA vs. NYK",23,1,2,3,0,0,0,0,0,0,1,3,0,0,0,1,0,0,,,,1.5,0.0,1.5,0.0
Sim Bhullar,"04/10/15, SAC @ OKC",22,1,3,3,1,2,0,0,0,0,0,1,1,0,1,0,0,2,.500,,,1.0,0.7,0.3,0.3
Tarik Black,"01/1/17, LAL vs. TOR",23,4,220,3319,439,798,2,14,195,335,393,1031,110,83,116,163,516,1075,.550,.143,.582,15.1,4.9,4.7,0.5
Bojan Bogdanovic,"01/10/15, BRK @ DET",25,5,370,10167,1668,3640,619,1605,736,859,178,1228,486,194,29,508,584,4691,.458,.386,.857,27.5,12.7,3.3,1.3
Jabari Brown,"03/12/15, LAL vs. NYK",22,1,19,568,70,170,23,62,64,85,3,36,40,12,2,32,33,227,.412,.371,.753,29.9,11.9,1.9,2.1
Markel Brown,"01/11/16, BRK vs. SAS",23,3,113,1794,205,539,56,190,118,151,40,234,132,69,27,83,157,584,.380,.295,.781,15.9,5.2,2.1,1.2
Bruno Caboclo,"01/13/17, TOR vs. BRK",19,5,41,345,28,104,13,58,14,15,20,55,15,11,15,18,31,83,.269,.224,.933,8.4,2.0,1.3,0.4
Clint Capela,"01/10/16, HOU vs. IND",20,5,270,6582,1363,2164,0,2,431,842,831,2386,242,177,394,320,680,3157,.630,.000,.512,24.4,11.7,8.8,0.9
Will Cherry,"11/10/14, CLE vs. NOP",23,1,8,69,5,19,2,9,3,6,1,5,8,6,1,4,10,15,.263,.222,.500,8.6,1.9,0.6,1.0
Patrick Christopher,"01/2/15, UTA vs. ATL",26,1,4,29,3,12,0,4,0,0,2,6,0,1,0,1,6,6,.250,.000,,7.3,1.5,1.5,0.0
Jordan Clarkson,"01/1/16, LAL vs. PHI",22,5,353,9689,1994,4475,472,1391,671,829,303,1138,953,322,43,608,615,5131,.446,.339,.809,27.4,14.5,3.2,2.7
Jack Cooley,"02/27/15, UTA @ DEN",23,2,23,174,22,49,0,0,23,40,24,55,7,7,3,6,36,67,.449,,.575,7.6,2.9,2.4,0.3
Bryce Cotton,"01/2/16, PHO @ SAC",22,2,23,198,33,79,7,23,15,18,3,18,18,7,0,17,8,88,.418,.304,.833,8.6,3.8,0.8,0.8
Andre Dawkins,"01/3/15, MIA @ HOU",23,1,4,22,1,6,1,6,0,0,0,2,1,0,0,1,3,3,.167,.167,,5.5,0.8,0.5,0.3
Spencer Dinwiddie,"01/1/18, BRK vs. ORL",21,5,234,5653,803,1959,288,871,592,743,96,609,1081,162,63,348,514,2486,.410,.331,.797,24.2,10.6,2.6,4.6
Zoran Dragic,"01/2/15, PHO vs. PHI",25,1,16,75,11,30,3,14,3,5,5,8,5,2,0,5,6,28,.367,.214,.600,4.7,1.8,0.5,0.3
Larry Drew,"01/16/15, PHI vs. NOP",24,2,22,289,27,82,7,35,2,3,4,18,55,6,0,28,19,63,.329,.200,.667,13.1,2.9,0.8,2.5
Cleanthony Early,"01/10/15, NYK vs. CHO",23,2,56,801,88,254,26,99,39,52,26,123,42,26,15,49,73,241,.346,.263,.750,14.3,4.3,2.2,0.8
James Ennis,"01/10/18, MEM vs. NOP",24,5,258,5371,581,1260,200,553,327,410,250,810,228,167,74,196,521,1689,.461,.362,.798,20.8,6.5,3.1,0.9
