Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OPP_eFG%,OPP_TOV%,OPP_DRB%,OPP_FT/FGA,Arena,Att,Att/G
Milwaukee Bucks,26.8,38,13,39,12,9.84,-0.79,9.06,113.6,104.0,9.6,102.8,.249,.419,.587,.555,12.6,20.5,.192,.501,12.1,80.6,.169,Fiserv Forum,452886,17419
Golden State Warriors,28.4,37,15,37,15,7.10,-0.03,7.07,116.6,109.6,7.0,101.0,.238,.370,.596,.561,12.4,23.3,.196,.512,11.7,78.0,.204,Oracle Arena,509496,19596
Boston Celtics,25.6,33,19,37,15,6.94,-1.11,5.84,112.4,105.4,7.0,99.3,.213,.393,.567,.534,11.9,22.9,.172,.504,14.1,77.2,.203,TD Garden,502848,18624
Denver Nuggets,24.6,37,15,35,17,5.75,-0.30,5.45,114.9,109.0,5.9,96.9,.239,.345,.565,.534,11.9,27.8,.181,.522,12.3,78.0,.191,Pepsi Center,495280,18344
Toronto Raptors,27.1,37,16,35,18,5.06,-0.08,4.98,112.5,107.5,5.0,100.0,.248,.370,.572,.535,12.4,23.1,.199,.511,13.2,76.0,.188,Scotiabank Arena,515188,19815
Oklahoma City Thunder,25.6,33,18,34,17,5.24,-0.82,4.41,110.3,105.2,5.1,103.2,.272,.323,.548,.517,12.0,26.1,.194,.516,15.1,77.1,.197,Chesapeake Energy Arena,436872,18203
Portland Trail Blazers,26.2,32,20,31,21,3.10,0.62,3.71,112.9,109.8,3.1,99.4,.254,.339,.565,.524,12.5,25.5,.208,.515,11.0,78.3,.187,Moda Center,562536,19398
Utah Jazz,27.2,30,24,32,22,2.67,0.77,3.43,108.6,105.9,2.7,100.2,.302,.393,.563,.527,13.7,22.2,.222,.514,13.1,80.1,.192,Vivint Smart Home Arena,475956,18306
San Antonio Spurs,28.9,32,22,31,23,2.59,0.41,3.00,113.5,110.9,2.6,98.5,.246,.282,.577,.539,11.4,21.4,.202,.528,11.4,79.1,.176,AT&T Center,529313,18252
Indiana Pacers,26.8,33,19,33,19,4.23,-1.41,2.82,109.4,105.1,4.3,98.4,.237,.288,.559,.528,12.8,22.4,.179,.516,14.7,77.3,.179,Bankers Life Fieldhouse,419171,16767
Philadelphia 76ers,26.1,34,19,32,21,3.51,-0.73,2.78,112.3,108.9,3.4,101.8,.313,.362,.577,.537,13.5,24.4,.240,.508,11.7,78.6,.211,Wells Fargo Center,530040,20386
Houston Rockets,29.1,30,22,29,23,1.62,0.68,2.30,114.4,112.7,1.7,97.6,.300,.513,.576,.535,12.5,23.9,.234,.532,13.1,74.5,.221,Toyota Center,487485,18055
New Orleans Pelicans,26.3,23,30,29,24,1.28,0.56,1.84,113.4,112.2,1.2,102.5,.272,.313,.572,.535,12.3,24.3,.211,.530,11.6,76.9,.198,Smoothie King Center,376587,15691
Los Angeles Clippers,27.6,29,24,28,25,0.74,0.59,1.32,111.9,111.2,0.7,101.1,.325,.287,.571,.525,12.7,22.2,.256,.509,11.1,75.6,.219,STAPLES Center,463788,17177
