Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Phoenix Suns,82,19905,3388,6855,.494,785,1965,.399,2603,4890,.532,1476,1827,.808,737,2583,3320,2122,553,394,1189,1659,9037
Golden State Warriors,82,19755,3261,7048,.463,700,1967,.356,2561,5081,.504,1515,2113,.717,940,2456,3396,1950,750,466,1309,1933,8737
Denver Nuggets,82,19780,3164,6805,.465,484,1440,.336,2680,5365,.500,1827,2449,.746,1001,2558,3559,1920,678,435,1352,1756,8639
Washington Wizards,82,19830,3070,6820,.450,561,1614,.348,2509,5206,.482,1855,2425,.765,998,2379,3377,1660,635,375,1133,1823,8556
Los Angeles Lakers,82,20030,3103,6664,.466,608,1724,.353,2495,4940,.505,1660,2221,.747,886,2495,3381,1850,600,421,1273,1889,8474
Memphis Grizzlies,82,19980,2998,6448,.465,500,1362,.367,2498,5086,.491,1835,2410,.761,866,2375,3241,1680,564,407,1343,1827,8331
Utah Jazz,82,19805,3069,6471,.474,354,1056,.335,2715,5415,.501,1830,2462,.743,1030,2456,3486,2024,577,339,1277,2067,8322
Sacramento Kings,82,19805,2941,6532,.450,530,1513,.350,2411,5019,.480,1891,2473,.765,797,2396,3193,1665,671,265,1194,1792,8303
Dallas Mavericks,82,19755,3010,6442,.467,535,1404,.381,2475,5038,.491,1646,2045,.805,920,2515,3435,1632,560,408,1140,1837,8201
Milwaukee Bucks,82,19855,3121,6714,.465,524,1472,.356,2597,5242,.495,1406,1919,.733,941,2272,3213,1771,587,224,1240,1821,8172
Toronto Raptors,82,19755,3032,6547,.463,531,1464,.363,2501,5083,.492,1562,1982,.788,755,2480,3235,1822,581,321,1104,1672,8157
Seattle SuperSonics,82,19830,3047,6628,.460,525,1451,.362,2522,5177,.487,1511,1911,.791,928,2322,3250,1695,631,301,1268,1801,8130
Chicago Bulls,82,19780,3046,6663,.457,480,1237,.388,2566,5426,.473,1528,2083,.734,984,2597,3581,1832,639,445,1310,1908,8100
San Antonio Spurs,82,19780,2999,6328,.474,595,1561,.381,2404,4767,.504,1486,1980,.751,761,2577,3338,1814,587,417,1137,1588,8079
New Jersey Nets,82,19880,2913,6379,.457,609,1676,.363,2304,4703,.490,1566,2153,.727,822,2525,3347,1962,499,273,1212,1869,8001
New York Knicks,82,20005,2903,6356,.457,474,1370,.346,2429,4986,.487,1714,2396,.715,1032,2516,3548,1532,543,260,1405,1932,7994
Houston Rockets,82,19855,2906,6528,.445,705,1893,.372,2201,4635,.475,1436,1906,.753,880,2673,3553,1704,583,337,1162,1710,7953
Charlotte Bobcats,82,20005,2960,6643,.446,457,1280,.357,2503,5363,.467,1568,2136,.734,920,2346,3266,1836,638,369,1224,1985,7945
Cleveland Cavaliers,82,19880,2978,6658,.447,494,1404,.352,2484,5254,.473,1484,2133,.696,1039,2529,3568,1708,625,353,1177,1781,7934
Minnesota Timberwolves,82,20005,2997,6503,.461,384,1089,.353,2613,5414,.483,1499,1892,.792,819,2474,3293,1848,532,325,1278,1758,7877
Detroit Pistons,82,19880,2942,6484,.454,449,1305,.344,2493,5179,.481,1539,1988,.774,948,2374,3322,1768,583,472,1001,1672,7872
Boston Celtics,82,19855,2858,6454,.443,471,1283,.367,2387,5171,.462,1670,2178,.767,918,2391,3309,1630,589,382,1350,1971,7857
Los Angeles Clippers,82,19730,2880,6318,.456,314,903,.348,2566,5415,.474,1769,2245,.788,888,2484,3372,1762,596,472,1239,1858,7843
Indiana Pacers,82,19780,2872,6561,.438,481,1389,.346,2391,5172,.462,1615,2125,.760,990,2441,3431,1680,599,447,1335,1912,7840
New Orleans/Oklahoma City Hornets,82,19880,2971,6674,.445,455,1256,.362,2516,5418,.464,1436,1941,.740,1025,2512,3537,1537,522,347,1187,1620,7833
Philadelphia 76ers,82,19880,2932,6408,.458,284,823,.345,2648,5585,.474,1637,2135,.767,899,2353,3252,1669,590,390,1258,1671,7785
Orlando Magic,82,19780,2875,6090,.472,342,962,.356,2533,5128,.494,1679,2393,.702,920,2418,3338,1525,565,416,1392,1904,7771
Miami Heat,82,19855,2919,6288,.464,528,1539,.343,2391,4749,.503,1393,2019,.690,817,2526,3343,1681,566,442,1201,1749,7759
Portland Trail Blazers,82,19955,2874,6392,.450,426,1232,.346,2448,5160,.474,1543,2006,.769,923,2299,3222,1513,555,380,1236,1931,7717
Atlanta Hawks,82,19880,2831,6372,.444,341,1038,.329,2490,5334,.467,1677,2203,.761,976,2312,3288,1573,609,446,1306,1970,7680
