Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alex Abrines,SG,24,OKC,70,8,1039,107,271,.395,78,203,.384,29,68,.426,.539,35,41,.854,24,82,106,27,36,8,25,113,327
Quincy Acy,PF,27,BRK,63,8,1229,110,323,.341,86,257,.335,24,66,.364,.474,46,56,.821,38,199,237,52,29,25,58,135,352
Steven Adams,C,24,OKC,70,70,2287,419,664,.631,0,2,.000,419,662,.633,.631,147,259,.568,358,276,634,76,85,76,113,202,985
Bam Adebayo,C,20,MIA,65,19,1304,166,323,.514,0,7,.000,166,316,.525,.514,121,171,.708,112,247,359,98,29,39,61,134,453
Arron Afflalo,SG,32,ORL,51,3,657,60,153,.392,25,65,.385,35,88,.398,.474,22,26,.846,4,62,66,29,4,9,21,54,167
Cole Aldrich,C,29,MIN,19,0,46,5,15,.333,0,0,,5,15,.333,.333,2,6,.333,3,10,13,2,2,1,1,11,12
LaMarcus Aldridge,C,32,SAS,69,69,2299,627,1234,.508,27,87,.310,600,1147,.523,.519,314,377,.833,227,349,576,142,35,81,106,151,1595
Jarrett Allen,C,19,BRK,65,24,1272,208,356,.584,3,13,.231,205,343,.598,.588,105,133,.789,137,213,350,46,26,67,73,130,524
Kadeem Allen,PG,25,BOS,11,0,32,1,6,.167,0,3,.000,1,3,.333,.167,3,4,.750,1,3,4,2,1,0,3,2,5
Tony Allen,SF,36,NOP,22,0,273,44,91,.484,4,12,.333,40,79,.506,.505,11,21,.524,20,27,47,9,11,3,19,49,103
Al-Farouq Aminu,PF,27,POR,62,60,1865,210,525,.400,117,306,.382,93,219,.425,.511,54,74,.730,84,381,465,76,67,36,67,121,591
Justin Anderson,SF,24,PHI,33,0,464,74,174,.425,28,86,.326,46,88,.523,.506,22,30,.733,20,59,79,23,13,5,14,51,198
Kyle Anderson,SF,24,SAS,68,62,1818,213,404,.527,16,50,.320,197,354,.556,.547,97,135,.719,79,296,375,187,104,52,92,104,539
Ryan Anderson,PF,29,HOU,63,50,1685,206,476,.433,130,337,.386,76,139,.547,.569,70,90,.778,92,230,322,59,24,21,42,121,612
Ike Anigbogu,C,19,IND,10,0,28,4,9,.444,0,0,,4,9,.444,.444,5,6,.833,5,4,9,0,1,3,2,1,13
Giannis Antetokounmpo,PF,23,MIL,70,70,2586,704,1312,.537,42,131,.321,662,1181,.561,.553,461,607,.759,146,548,694,335,103,102,204,213,1911
Carmelo Anthony,PF,33,OKC,72,72,2315,438,1080,.406,155,431,.360,283,649,.436,.477,136,178,.764,58,358,416,95,45,46,93,181,1167
OG Anunoby,SF,20,TOR,67,55,1338,143,312,.458,63,176,.358,80,136,.588,.559,35,55,.636,38,120,158,53,50,11,41,114,384
Ryan Arcidiacono,PG,23,CHI,17,0,155,7,17,.412,4,14,.286,3,3,1.000,.529,4,4,1.000,0,10,10,17,6,0,3,10,22
Trevor Ariza,SF,32,HOU,62,62,2119,252,604,.417,165,434,.380,87,170,.512,.554,74,85,.871,33,246,279,99,91,13,50,124,743
Darrell Arthur,PF,29,DEN,19,1,141,22,47,.468,8,23,.348,14,24,.583,.553,2,3,.667,3,12,15,9,8,3,15,22,54
Jamel Artis,SG,25,ORL,8,0,97,6,23,.261,0,7,.000,6,16,.375,.261,1,3,.333,2,10,12,11,0,1,0,5,13
Omer Asik,C,31,NOP,14,0,121,7,16,.438,0,0,,7,16,.438,.438,4,12,.333,7,30,37,2,1,2,5,14,18
D.J. Augustin,PG,30,ORL,67,28,1572,209,467,.448,104,245,.424,105,222,.473,.559,150,174,.862,25,113,138,259,50,0,109,88,672
Luke Babbitt,SF,28,TOT,48,13,683,90,205,.439,59,146,.404,31,59,.525,.583,17,22,.773,6,86,92,29,8,7,19,54,256
